ID del Caso;Nombre del Caso;Módulo/Pantalla;Propiedad de Software;Tipo de Prueba;Precondiciones;Datos de Entrada;Pasos de Ejecución;Resultado Esperado;Resultado Obtenido;Estado;Observaciones;RF Asociado;CU Asociado;Evidencia;Resultado Obtenido (Web);Estado (Web);Observaciones (Web)
CP-001;Registrar usuario nuevo;Auth / RegisterScreen;Funcionalidad;Caja Negra;App instalada, backend activo, sin sesión iniciada;"1. Datos válidos: email=nuevo@test.com, nombre=Usuario Prueba, password=Test123!
2. Datos faltantes: email=(vacío), nombre=Usuario, password=Test123!
3. Tipo incorrecto: email=notanemail, password=123
4. Fuera de rango: password=ab
5. Email duplicado: email=nuevo@test.com ";"1. Abrir app
2. Navegar a pantalla de Registro
3. Ingresar nombre completo
4. Ingresar email
5. Ingresar contraseña
6. Confirmar contraseña
7. Presionar botón ""Registrar""
8. Observar respuesta";"1. Datos válidos: Registro exitoso, porfavor Inicia Sesión
2. Datos faltantes: Mensaje ""Por favor ingresa tu email""
3. Tipo incorrecto: Mensaje ""Ingresar datos validos""
4. Fuera de rango: Mensaje ""Minimo de caracteres""
5. Email duplicado: Error ""El email ya está registrado""";"1. Datos válidos: CORRECTO
2. Datos faltantes: CORRECTO
3. Tipo incorrecto: CORRECTO
4. Fuera de rango: CORRECTO
5. Email duplicado: ADVERTENCIA";PASÓ CON OBSERVACIONES;En el caso de entrada numero 5, al mostrar el error de Email Duplicado, manda el formato en JSON. ;RF-01;CU-01;;"1. Datos válidos: CORRECTO
2. Datos faltantes: CORRECTO
3. Tipo incorrecto: CORRECTO
4. Fuera de rango: CORRECTO
5. Email duplicado: CORRECTO";PASÓ;
CP-002;Iniciar sesión con credenciales válidas;Auth / LoginScreen;Funcionalidad;Caja Negra;Usuario registrado (email: nuevo@test.com, password: Test123!), backend activo;"1. Datos válidos: email=nuevo@test.com, password=Test123!
2. Datos faltantes: email=(vacío), password=Test123!
3. Tipo incorrecto: email=notanemail, password=123
4. Fuera de rango: password=ab
5. Credenciales incorrectas: email=nuevo@test.com, password=WrongPass123!";"1. Abrir app
2. En pantalla Login, ingresar email
3. Ingresar contraseña
4. Presionar ""Iniciar Sesión""
5. Observar respuesta";"1. Datos válidos: Login exitoso, redirección a HomeScreen
2. Datos faltantes: El recuadro del Email se pinta de Rojo
3. Tipo incorrecto: Error ""Formato de email inválido""
4. Fuera de rango: Error ""La contraseña debe tener al menos 6 caracteres""
5. Credenciales incorrectas: Error ""Email o contraseña incorrectos""";"1. Datos válidos: CORRECTO
2. Datos faltantes: CORRECTO
3. Tipo incorrecto: CORRECTO
4. Fuera de rango: CORRECTO
5. Credenciales incorrectas: CORRECTO";PASÓ;;RF-02;CU-02;;"1. Datos válidos: CORRECTO
2. Datos faltantes: CORRECTO
3. Tipo incorrecto: CORRECTO
4. Fuera de rango: CORRECTO
5. Credenciales incorrectas: CORRECTO";PASÓ;
CP-003;Registrar ingreso;Transactions / AddIncomeScreen;Funcionalidad;Caja Negra;Usuario con sesión activa, categorías configuradas;"1. Datos válidos: monto=5000, tipo=Sueldo, Nombre=Venta Ropa, fecha=hoy
2. Datos faltantes: monto=(vacío), tipo=Sueldo
3. Tipo incorrecto: monto=abc (texto), Nombre=123
4. Fuera de rango: monto=-500 (negativo), monto=0
5. Casos límite: monto=0.01, monto=999999999";"1. Selecciona el Boton de ""+"" en la parte inferior derecha
2. Presionar botón ""Registrar Ingreso""
3. Ingresar monto
4. Ingresar tipo de Ingreso
5. Colocar Nombre
6. Seleccionar fecha
7. Presionar ""Guardar""
8. Verificar ingreso en historial";"1. Datos válidos: Ingreso registrado exitosamente, visible en historial
2. Datos faltantes: Error ""Ingresa un monto""
3. Tipo incorrecto: Error ""Formato de monto inválido""
4. Fuera de rango: Error ""Monto Invalido""
5. Casos límite: Monto 0.01 aceptado, monto máximo aceptado";"1. Datos válidos: CORRECTO
2. Datos faltantes: CORRECTO
3. Tipo incorrecto: CORRECTO
4. Fuera de rango: CORRECTO
5. Casos límite: FALLÓ";FALLÓ;Al ingresar una cantidad muy grande el BackEnd manda error al crear Ingreso;RF-06;CU-04;;"1. Datos válidos: CORRECTO
2. Datos faltantes: CORRECTO
3. Tipo incorrecto: CORRECTO
4. Fuera de rango: CORRECTO
5. Casos límite: CORRECTO";PASÓ;
CP-004;Registrar egreso con OCR;Transactions / AddExpenseScreen;Funcionalidad;Caja Negra;Usuario con sesión activa, cámara disponible, ticket físico disponible;"1. Datos válidos: Foto de ticket legible, OCR detecta productos y monto total correctamente
2. Foto borrosa: Imagen con poca resolución
3. Ticket ilegible: Texto muy pequeño o dañado
4. Sin ticket: Foto de objeto no relacionado
5. Ticket complejo: Múltiples productos, descuentos, IVA";"1. Selecciona el Boton de ""+"" en la parte inferior derecha, presionar 'Escanear Ticket'
2. Permitir acceso a cámara
3. Tomar foto del ticket
4. Esperar procesamiento OCR
5. Revisar datos detectados
6. Confirmar o corregir datos
7. Presionar ""Guardar""
8. Verificar egreso en historial";"1. Datos válidos: OCR detecta productos, total coincide, egreso registrado
2. Foto borrosa: OCR falla, opción de reintentar o registrar manualmente
3. Ticket ilegible: OCR detecta parcialmente, permite corrección manual
4. Sin ticket: OCR no detecta datos, mensaje ""No se detectó un ticket""
5. Ticket complejo: OCR detecta productos principales, permite corrección";"1. Datos válidos: FALLÓ
2. Foto borrosa: CORRECTO
3. Ticket ilegible: CORRECTO
4. Sin ticket: CORRECTO
5. Ticket complejo: CORRECTO";FALLÓ;La categotización de los productos esta incorrecta, casi todos los coloca como Alimentos;RF-07;CU-05;;NA;NA;
CP-005;Registrar egreso manualmente (sin ticket);Transactions / AddExpenseScreen;Funcionalidad;Caja Negra;Usuario con sesión activa, categorías configuradas;"1. Datos válidos: Producto= Coca, Monto = 15, Categoría=Alimento, Nombre=Tiendita
2. Datos faltantes: monto=(vacío), Producto=Comida
3. Tipo incorrecto: monto=abc, Producto=123
4. Fuera de rango: monto=-50, monto=0
5. Casos límite: monto=0.01, Producto de muchos caracteres";"1. Selecciona el Boton de ""+"" en la parte inferior derecha, presionar 'Registrar Gasto Manual'
2. Ingresar Nombre
3. Ingresar Fecha
4. Seleccionar boton de 'Agregar'
5. Agrega Nombre del Producto, Monto y Categoria
7. Presionar ""Guardar""
8. Verificar en historial";"1. Datos válidos: Egreso registrado exitosamente
2. Datos faltantes: Error ""El monto es obligatorio""
3. Tipo incorrecto: Error ""Formato de monto inválido""
4. Fuera de rango: Error ""El monto debe ser mayor a 0""
5. Casos límite: Valores extremos aceptados correctamente";"1. Datos válidos: CORRECTO
2. Datos faltantes: CORRECTO
3. Tipo incorrecto: CORRECTO
4. Fuera de rango: CORRECTO
5. Casos límite: FALLÓ";FALLÓ;Manda Error al intentar colocar valores extremos en los gastos;RF-08;CU-06;;"1. Datos válidos: CORRECTO
2. Datos faltantes: CORRECTO
3. Tipo incorrecto: CORRECTO
4. Fuera de rango: CORRECTO
5. Casos límite: CORRECTO";PASÓ;
CP-006;Tomar foto de ticket (OCR);Scan / CameraScreen;Funcionalidad;Caja Negra;Usuario con sesión activa, permisos de cámara otorgados, ticket físico disponible;"1. Foto correcta: Ticket centrado, bien iluminado, texto legible
2. Foto oscura: Ticket con poca luz
3. Foto desenfocada: Movimiento al tomar foto
4. Ticket parcial: Solo se captura mitad del ticket
5. Sin permisos: Permisos de cámara denegados";"1. Desde Scan, presionar ""Escanear Ticket""
2. Permitir acceso a cámara si se solicita
3. Posicionar ticket en el área marcada
4. Presionar botón captura
5. Esperar procesamiento
6. Revisar preview de foto
7. Confirmar o reintentar";"1. Foto correcta: Procesamiento OCR exitoso, datos extraídos
2. Foto oscura: Advertencia de calidad baja, opción de reintentar
3. Foto desenfocada: OCR falla parcialmente, permite corrección
4. Ticket parcial: Advertencia ""Ticket incompleto""
5. Sin permisos: Error ""Permita acceso a la cámara""";"1. Foto correcta: CORRECTO
2. Foto oscura: CORRECTO
3. Foto desenfocada:  CORRECTO
4. Ticket parcial: ADVERTENCIA
5. Sin permisos: CORRECTA";PASÓ CON OBSERVACIONES;"La advertancia de ""Ticket Incompleto"" se cambio a % de OCR obtenido";RF-16;CU-07;;NA;NA;
CP-007;Corregir datos escaneados por OCR;Scan / ReviewDataScreen;Funcionalidad;Caja Negra;Ticket escaneado con datos OCR detectados (pueden tener errores);"1. Corrección monto: OCR detectó 15O (letra O) ? corregir a 150
2. Corrección producto: ""Cebollla"" ? ""Cebolla""
3. Agregar producto: OCR omitió un producto
4. Eliminar producto: OCR detectó elemento no válido
5. Cambiar categoría: Reclasificar de ""Otros"" a ""Alimentos""";"1. Desde ReviewDataScreen (post-OCR)
2. Revisar lista de productos detectados
3. Click en producto a editar
4. Modificar nombre, precio o cantidad
5. Agregar productos faltantes con botón ""+""
6. Eliminar productos erróneos con swipe o botón ""-""
7. Ajustar categoría si es necesario
8. Presionar ""Confirmar y Guardar""";"1. Corrección monto: Valor actualizado correctamente
2. Corrección producto: Nombre corregido
3. Agregar producto: Producto añadido a la lista
4. Eliminar producto: Producto eliminado de la lista
5. Cambiar categoría: Categoría actualizada, egreso guardado correctamente";"1. Corrección monto: CORRECTO
2. Corrección producto: CORRECTO
3. Agregar producto: CORRECTO
4. Eliminar producto: CORRECTO
5. Cambiar categoría: CORRECTO";PASÓ;;RF-20;CU-27;;NA;NA;
CP-008;Configurar presupuesto por categoría;Budgets / NewBudgetScreen;Funcionalidad;Caja Negra;Usuario con sesión activa, categorías creadas;"1. Datos válidos: categoría=Alimentos, monto=3000, Periodo=mensual
2. Datos faltantes: categoría=(vacía), monto=3000
3. Tipo incorrecto: monto=abc (texto)
4. Fuera de rango: monto=-1000, monto=0
5. Presupuesto duplicado: categoría ya tiene presupuesto este mes";"1. Desde Presupuestos, presionar ""Nuevo Presupuesto""
2. Seleccionar categoría
3. Ingresar monto asignado
4. Seleccionar Periodo                                                                   5. Presionar ""Crear Presupuesto""
6. Verificar en lista de presupuestos";"1. Datos válidos: Presupuesto creado, visible en lista con barra de progreso
2. Datos faltantes: Error ""Selecciona una categoría""
3. Tipo incorrecto: No permite colocar letras
4. Fuera de rango: Error ""El monto debe ser mayor a 0""
5. Duplicado: Error ""Ya existe presupuesto para esta categoría""";"1. Datos válidos: CORRECTO
2. Datos faltantes: CORRECTO
3. Tipo incorrecto: CORRECTO
4. Fuera de rango: CORRECTO
5. Presupuesto duplicado: CORRECTO";PASÓ;;RF-10;CU-16;;"1. Datos válidos: CORRECTO
2. Datos faltantes: CORRECTO
3. Tipo incorrecto: CORRECTO
4. Fuera de rango: CORRECTO
5. Presupuesto duplicado: CORRECTO";PASÓ;
CP-009;Registrar nueva deuda;Debts / NewDebtScreen;Funcionalidad;Caja Negra;Usuario con sesión activa;"1. Datos válidos: nombre=Tarjeta Visa, meses = 10,  monto_pago=1500, fecha_pago= 21 Mayo
2. Datos faltantes: nombre=(vacío)
3. Tipo incorrecto: monto_total=abc
4. Fuera de rango: monto_total=-5000, monto_pago=0
5. Pago mayor: monto_pago=2000000";"1. Desde Deudas, presionar ""Nueva Deuda""
2. Ingresar nombre de la deuda
3. Ingresar tiempo en meses
4. Ingresar fecha del proximo pago
5. Ingresar monto de pago mensual                                          6. Presionar ""Crear Deuda""";"1. Datos válidos: Deuda creada, visible en lista con días hasta pago
2. Datos faltantes: Error ""El nombre es obligatorio""
3. Tipo incorrecto: No permite colocar letras
4. Fuera de rango: Error ""El monto debe ser mayor a 0""
5. Pago > : Deuda Creada";"1. Datos válidos: CORRECTO
2. Datos faltantes: CORRECTO                            3. Tipo incorrecto:  CORRECTO
4. Fuera de rango: CORRECTO
5. Pago mayor: CORRECTO";PASÓ;;RF-26;CU-15;;"1. Datos válidos: CORRECTO
2. Datos faltantes: CORRECTO                            3. Tipo incorrecto:  CORRECTO
4. Fuera de rango: CORRECTO
5. Pago mayor: CORRECTO";PASÓ;
CP-010;Planificar pago de deuda;Debts / EditDebtScreen;Funcionalidad;Caja Negra;Deuda existente con monto pendiente > 0;"1. Pago completo: monto=monto_pago_programado (ej: 1500)
2. Pago parcial: monto=500 (menor al programado)
3. Pago mayor: monto=2000 (mayor al programado)
4. Pago total restante: monto=liquida deuda
5. Pago > pendiente: monto mayor al pendiente";"1. Desde Deudas, seleccionar una deuda
2. Presionar ""Registrar Pago""
3. Ingresar monto del pago
4. Presionar ""Pagar""
6. Verificar actualización de monto pendiente
7. Verificar cálculo de próxima fecha de pago";"1. Pago completo: Monto pendiente reducido, fecha siguiente pago actualizada
2. Pago parcial: Monto pendiente reducido proporcionalmente
3. Pago mayor: Monto pendiente reducido más de lo programado
4. Pago total: Deuda marcada como pagada 
5. Pago > pendiente: Error ""El pago no puede ser mayor al pendiente""";"1. Pago completo: CORRECTO
2. Pago parcial: CORRECTO
3. Pago mayor: CORRECTO
4. Pago total restante: ADVERTENCIA
5. Pago > pendiente: INCORRECTO";FALLÓ;Al liquidar la deuda no marca como Deuda Pagada, solo es el porcentaje.           No manda el mensaje correcto cuando quiero pagar mas de la deuda, manda error del BackEnd;RF-27;CU-12;;"1. Pago completo: CORRECTO
2. Pago parcial: CORRECTO
3. Pago mayor: CORRECTO
4. Pago total restante: ADVERTENCIA
5. Pago > pendiente: CORRECTO";PASÓ;
